Sample.no,depth,Photos.available,Notes,Remarks,Age..in.Ma.,Age_New,Planktonic_d13C,Planktonic_d18O,Benthic_d13C,Benthic_d18O,P1,P2,P3,D1,D2,R1,R2,R3,R4,R5,R6,Radius,TD,T1,T2,T3,T4,T5,N1,N2,N3,N4,N5,N6,N,WT,Last.Complete.Whorl,No..of.chambers.in.final.whorl,Series,CA1_Avg,CA2_Avg,CA3_Avg,CA4_Avg,CA5_Avg,CL1_Avg,CL2_Avg,CL3_Avg,CL4_Avg,CL5_Avg,CW1_Avg,CW2_Avg,CW3_Avg,CW4_Avg,CW5_Avg,CR1,CR2,CR3,CR4,CR5,CR,Average_Radius,Average_Chambers,Average_Thickness,CR_Avg,Zones,PD
"17,25,2 48-59_2",72.88,,slight sub eq?,,33.29,33.43,1.36,-1.93,1.72,-1.62,229.71,279.99,275.2,144.42,328.79,550.04,790.2,948.35,NA,NA,NA,948.35,64.77,58.34,NA,NA,NA,NA,7,11,15,NA,NA,NA,33,3,3,15,Oligocene,31308.23867,38580.19633,25356.916,NA,NA,148.2936667,168.211,129.7783333,NA,NA,215.768,246.101,215.9603333,NA,NA,0.687282946,0.683503927,0.600935974,NA,NA,0.600935974,762.8633333,11,58.34,0.657240949,Zone 2,1.590569173
"17,25,2 48-59_6",72.88,,prob ok,,33.29,33.43,1.36,-1.93,1.72,-1.62,213.32,217.28,259.95,113.03,292.49,488.83,668.12,NA,NA,NA,NA,668.12,49.45,68.98,NA,NA,NA,NA,6,12,NA,NA,NA,NA,18,2,2,12,Oligocene,26578.80867,28177.434,NA,NA,NA,148.0916667,139.52,NA,NA,NA,192.76,215.845,NA,NA,NA,0.768269696,0.64638977,NA,NA,NA,0.64638977,578.475,9,68.98,0.707329733,Zone 2,1.887286561
"17,26,1 10-15_2",74.9,,,,33.31,33.46,1.44,-2.13,1.7,-1.5,206.13,233.9,257.83,108.52,284.9,497.33,637.29,NA,NA,NA,NA,637.29,49.66,73.42,64.52,NA,NA,NA,6,13,NA,NA,NA,NA,19,2.5,2,13,Oligocene,20689.879,17525.23067,NA,NA,NA,119.2263333,106.001,NA,NA,NA,173.454,191.1576667,NA,NA,NA,0.687365718,0.554521311,NA,NA,NA,0.554521311,567.31,9.5,68.97,0.620943515,Zone 2,1.899465536
"17,26,3 10-25_1",77.9,,,,33.33,33.49,1.54,-2.08,1.47,-1.48,296.09,353.87,362.52,122.5,351.75,562.01,743.63,NA,NA,NA,NA,743.63,46.39,50.18,NA,NA,NA,NA,7,15,NA,NA,NA,NA,22,2.5,2,15,Oligocene,32632.459,28015.89,18410.0115,NA,NA,162.9046667,153.125,128.616,NA,NA,195.3786667,216.2053333,151.5685,NA,NA,0.833789428,0.708238773,0.84856682,NA,NA,0.84856682,652.82,11,50.18,0.796865007,Zone 2,2.417061224
"17,27,3 0-10_1",80.2,,,,33.36,33.51,1.33,-2.07,1.21,-1.43,174.25,206.15,216.31,98.7,241.81,427.96,594.38,NA,NA,NA,NA,594.38,48.03,56.51,40.96,NA,NA,NA,6,14,16,NA,NA,NA,36,3.25,3,16,Oligocene,16170.10233,18607.563,23950.57933,NA,NA,125.4456667,140.315,144.301,NA,NA,157.4046667,144.076,207.874,NA,NA,0.796962818,0.973895722,0.694175318,NA,NA,0.694175318,511.17,12,48.735,0.821677952,Zone 2,1.765450861
"17,27,4 35-40_1",81.35,,,,33.37,33.52,1.4,-2.21,1.61,-1.69,207.31,233.58,262.83,122.62,283.21,470.05,662.75,887.55,1176.59,NA,NA,1176.59,61.31,69.4,87.59,79.69,110.98,NA,6,11,14,16,18,NA,65,5.25,5,18,Oligocene,26582.49967,25137.46133,50435.48333,48128.493,39368.127,140.257,129.146,184.243,186.6163333,163.6956667,212.3806667,250.58,308.4883333,315.463,280.3153333,0.660403803,0.515388299,0.597244628,0.5915633,0.58396972,0.58396972,799.235,13,86.915,0.58971395,Zone 2,1.690670364
"17,28,1 6-14 2",81.66,,,"but outer ones not good, slight oblique but ok along p-d line",33.37,33.52,1.42,-2.4,1.57,-1.43,219.35,296.02,251.44,149.36,336.28,545.17,779.47,1036.05,1308.64,1545.77,NA,1545.77,73.12,63.36,66.5,66.5,90.27,NA,6,12,17,19,NA,NA,54,5,4,19,Oligocene,23157.674,36513.10767,47604.532,52408.80467,50951.32867,135.033,173.0033333,200.155,181.832,174.495,175.8496667,223.5683333,264.7173333,293.414,336.4006667,0.76788886,0.77382754,0.756108402,0.619711398,0.518711814,0.518711814,1043.02,13.5,71.6575,0.687249603,Zone 2,1.468599357
"17,30,1 30-38_1",86.8,,,*taken on different line,NA,33.57,NA,NA,NA,NA,231.83,276.93,258.46,92.4,246.23,492.57,726.38,NA,NA,NA,NA,726.38,47.22,49.27,75.48,NA,NA,NA,7,10,19,NA,NA,NA,36,3,3,19,Oligocene,24896,36388,27332,NA,NA,138.962,172.354,161.129,NA,NA,187.7153333,236.3906667,170.9393333,NA,NA,0.740280496,0.72910662,0.942609269,NA,NA,0.942609269,609.475,12,62.375,0.803998795,Zone 2,2.508982684
"17,30,1 30-38_2",86.8,,,,NA,33.57,NA,NA,NA,NA,226.4,268.97,268,105.16,268,512.49,769.63,1092.78,1356.15,NA,NA,1356.15,42.21,64.52,66.43,117.39,96.78,NA,8,13,17,20,NA,NA,58,4.5,4,20,Oligocene,29338.91467,40795.412,44457.35167,70738.53033,60420.33867,185.016,181.8186667,205.9036667,210.397,208.293,205.8416667,250.171,235.303,337.3983333,328.709,0.898826768,0.726777551,0.87505755,0.623586364,0.633669903,0.633669903,932.7625,14.5,86.28,0.751583627,Zone 2,2.152909852
"17,30,1 30-38_3",86.8,,check 11or17,,NA,33.57,NA,NA,NA,NA,224.34,231.75,249.37,98.93,254.2,444.29,633.08,859.84,1133.38,NA,NA,1133.38,50.59,67.7,66.67,62.71,73.22,NA,7,11,16,18,NA,NA,52,4.5,4,18,Oligocene,26277.95433,28748.95833,30296.841,41774.79833,45679.546,154.981,165.372,169.6773333,177.0653333,195.219,179.2536667,196.8696667,204.625,270.742,240.396,0.864590404,0.840007518,0.829211159,0.654000241,0.81207258,0.81207258,767.6475,13,67.575,0.79997638,Zone 2,2.267664005
"17,30,1 30-38 5",86.8,,,nearly,NA,33.57,NA,NA,NA,NA,196.18,257.86,221.79,142.68,304.47,535.04,NA,NA,NA,NA,NA,535.04,49.75,75.08,NA,NA,NA,NA,7,12,NA,NA,NA,NA,19,2,2,12,Oligocene,27450.084,31460.14333,NA,NA,NA,159.6373333,171.2983333,NA,NA,NA,193.8456667,200.2526667,NA,NA,NA,0.823527996,0.855410997,NA,NA,NA,0.855410997,535.04,9.5,75.08,0.839469497,Zone 2,1.374964957
"17,30,1 30-38_4",86.8,,sub eq,,NA,33.57,NA,NA,NA,NA,134.48,205.78,161.48,90.41,189.8,375.1,562.69,785.36,1047.77,NA,NA,1047.77,26.55,50.75,59.69,79.49,NA,NA,6,12,16,17,NA,NA,51,4.5,4,17,Oligocene,24999.177,24162.963,25695.47333,35055.144,55845.26733,143.543,135.251,146.0573333,160.6616667,202.2873333,155.6243333,160.1443333,178.3526667,245.9766667,291.6126667,0.92236861,0.844556889,0.818924304,0.653158159,0.693685002,0.693685002,692.73,12.75,63.31,0.786538593,Zone 2,1.487446079
"17,31,3 0-15_1",90.9,,,,33.44,33.61,1.41,-2.13,1.42,-1.58,106.52,120.57,171.63,63.82,215.86,385.81,591.07,776.23,1034.17,NA,NA,1034.17,53.66,45.13,74.94,87.48,NA,NA,10,12,14,15,NA,NA,51,4.5,4,15,Oligocene,12267.66633,19120.2,26842.35267,43549.48167,57424.231,127.103,126.289,137.5393333,148.8236667,181.632,105.5113333,153.5076667,196.202,235.5426667,336.108,1.204638364,0.822688552,0.701008824,0.631833157,0.540397729,0.540397729,696.82,12.75,69.18333333,0.780113325,Zone 3,1.669069257
"17,31,4 0-12_1",91.9,,,,33.45,33.62,1.59,-2.24,1.84,-1.2,163.83,198.62,209.32,131.46,270,438.02,644.4,NA,NA,NA,NA,644.4,47.17,56.82,73.22,NA,NA,NA,7,12,NA,NA,NA,NA,19,2.5,2,12,Oligocene,16412.918,19450.692,20776.384,NA,NA,120.0536667,125.1753333,119.4206667,NA,NA,144.3236667,163.4986667,189.4093333,NA,NA,0.831836312,0.765604612,0.630489874,NA,NA,0.630489874,541.21,9.5,65.02,0.7426436,Zone 3,1.246234596
"12,12,2 80-90_1",97.8,,,,33.54141,33.72,0.962,-2.56,0.49,-1.43,176.63,208.54,200.45,110.72,256.68,438.25,629.81,871.99,NA,NA,NA,871.99,43.74,51.81,48.9,61.42,NA,NA,6,12,16,NA,NA,NA,34,3.5,3,16,EOT,20818.73,31512.01767,37072.68033,43150.436,NA,103.3073333,155.0833333,173.3396667,179.559,NA,161.202,207.8726667,230.357,249.4433333,NA,0.6408564,0.746049665,0.752482741,0.719838841,NA,0.719838841,646.6833333,11.33333333,54.04333333,0.714806912,Zone 3,1.595285405
"12,12,2 80-90 2",97.8,,,,33.54141,33.72,0.962,-2.56,0.49,-1.43,122.96,77.65,149.42,142.38,185.29,372.52,587.4,779.24,NA,NA,NA,779.24,43.72,71.99,63.8,NA,NA,NA,6,12,11,NA,NA,NA,29,3,3,11,EOT,14185.49333,16237.61367,25409.235,40130.797,NA,114.2593333,124.8943333,111.7226667,165.014,NA,139.7523333,140.517,212.6723333,258.437,NA,0.817584441,0.888820095,0.525327695,0.638507644,NA,0.638507644,579.72,9.666666667,67.895,0.717559969,Zone 3,0.863604439
"12,12,2 80-90 3",97.8,,,,33.54141,33.72,0.962,-2.56,0.49,-1.43,117.07,160.95,149.58,81.31,188.6,375.69,600.03,NA,NA,NA,NA,600.03,32.52,47.18,76.69,NA,NA,NA,6,12,18,NA,NA,NA,36,3,3,18,EOT,15381.547,24682.622,26266.90933,NA,NA,113.5156667,139.69,134.2383333,NA,NA,128.9386667,166.588,206.8193333,NA,NA,0.880384989,0.838535789,0.649060855,NA,NA,0.649060855,487.86,12,61.935,0.789327211,Zone 3,1.439798303
"12,12,2 80-90 4",97.8,,,,33.54141,33.72,0.962,-2.56,0.49,-1.43,149.63,186.78,181.48,84.68,204.9,378.95,529.78,NA,NA,NA,NA,529.78,34.35,42.93,53.29,NA,NA,NA,7,11,NA,NA,NA,NA,18,2.5,2,11,EOT,15462.58167,25119.13867,20319.56533,NA,NA,112.347,141.79,129.2776667,NA,NA,135.2816667,166.1146667,195.54,NA,NA,0.830467297,0.853567014,0.661131567,NA,NA,0.661131567,454.365,9,48.11,0.781721959,Zone 3,1.767005196
"11,27,1 10-20 1",98.2,,,,NA,33.74,NA,NA,NA,NA,205.59,223.26,238.81,104.23,250.06,485.35,726.82,911.83,1236.26,NA,NA,1236.26,35.84,89.35,95.3,99.84,122.73,NA,7,10,14,16,NA,NA,47,4.5,4,16,EOT,20447.531,28173.86833,47469.13567,30504.11533,34423.868,135.7353333,152.8336667,158.883,155.2466667,153.5876667,170.1666667,202.9806667,302.627,246.375,277.0003333,0.797661117,0.752946914,0.525012639,0.630123457,0.554467443,0.554467443,840.065,11.75,101.805,0.652042314,Zone 3,1.972464741
"11,27,1 10-20 2",98.2,,,weird bump,NA,33.74,NA,NA,NA,NA,158.66,208.78,215.98,95.34,268.27,503.89,702.06,NA,NA,NA,NA,702.06,61.49,79.79,85.14,86.96,NA,NA,6,13,16,NA,NA,NA,35,3,3,16,EOT,18454.96633,26404.41433,35698.35067,NA,NA,120.331,147.8943333,164.492,NA,NA,149.1186667,194.5066667,251.0003333,NA,NA,0.806947934,0.760356115,0.655345743,NA,NA,0.655345743,602.975,11.66666667,83.96333333,0.740883264,Zone 3,1.66414936
"11,27,1 10-20 3",98.2,,,"but test damaged, also slightly oblique ",NA,33.74,NA,NA,NA,NA,206.46,298.87,273.31,105.58,323.98,489.6,NA,NA,NA,NA,NA,489.6,90.6,82.2,86.24,NA,NA,NA,9,NA,NA,NA,NA,NA,9,2.75,1,9,EOT,11763.88913,26525.926,28391.66667,NA,NA,101.8046667,150.428,140.1633333,NA,NA,133.835,207.128,245.276,NA,NA,0.760672968,0.726256228,0.571451481,NA,NA,0.571451481,489.6,9,84.22,0.686126892,Zone 3,1.955483993
"17,35,1 12-18_1",101.02,,,,33.66,33.85,1.12,-2.67,1.12,-1.71,104.02,133.68,152.03,62.69,201.37,348.12,545.42,NA,NA,NA,NA,545.42,58.68,52.03,55.72,NA,NA,NA,7,11,NA,NA,NA,NA,18,2.5,2,11,EOT,13455.30733,19458.93533,25753.42467,NA,NA,111.054,142.5156667,165.1333333,NA,NA,133.8586667,139.628,157.042,NA,NA,0.829636233,1.020681143,1.051523372,NA,NA,1.051523372,446.77,9,53.875,0.967280249,Zone 3,1.659275802
"17,35,1 49-55 1",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,153.03,186.04,203.75,72.71,240.53,420.87,624.08,840.15,1031.78,NA,NA,1031.78,63.81,70.82,101.38,82.67,61.93,NA,7,11,13,16,NA,NA,47,4.25,4,16,EOT,16021.38867,21004.86067,31248.39667,40722.46567,NA,129.8933333,122.3753333,149.1176667,152.5496667,NA,142.2873333,187.031,226.6796667,297.5133333,NA,0.912894565,0.65430508,0.65783433,0.512749008,NA,0.512749008,729.22,11.75,79.2,0.684445746,Zone 3,2.104662357
"17,35,1 49-55 10",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,200.43,218.88,268.87,114.6,300.12,529.28,748.16,985.68,NA,NA,NA,985.68,56.3,61.53,87.62,86.67,NA,NA,6,10,14,NA,NA,NA,30,3.5,3,14,EOT,27803.76867,41825.55333,48976.94367,47132.088,NA,148.1133333,173.0216667,177.5003333,208.608,NA,197.6546667,259.4096667,327.611,264.706,NA,0.749354092,0.666982341,0.541802117,0.788074316,NA,0.788074316,754.3733333,10,78.60666667,0.686553217,Zone 3,1.74895288
"17,35,1 49-55 15",101.39,,,"weird shape pro, PD wall missing",33.67,33.87,1.24,-2.6,1.11,-1.95,255,255,327.15,98.09,310.58,575.22,883.05,NA,NA,NA,NA,883.05,75.85,102.61,147.34,NA,NA,NA,9,11,NA,NA,NA,NA,20,2.75,2,11,EOT,15976.979,43549.773,49892.01567,NA,NA,143.2453333,193.3113333,199.453,NA,NA,130.5,251.6273333,295.2666667,NA,NA,1.09766539,0.768244573,0.675501242,NA,NA,0.675501242,729.135,10,124.975,0.847137068,Zone 3,2.59965338
"17,35,1 49-55 17",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,186.3,191.11,221.68,135.3,304.72,572.37,825.86,1107.2,1507.47,NA,NA,1507.47,37.77,78.87,81.71,86.53,145.31,NA,6,9,16,16,NA,NA,47,4.75,4,16,EOT,39156.81467,51663.07,57284.82533,93834.05267,91711.234,188.6666667,207.0966667,203.611,249.8813333,248.7353333,261.646,250.994,265.9613333,402.0663333,405.267,0.72107606,0.825106045,0.765566173,0.621492805,0.613756692,0.613756692,1003.225,11.75,98.105,0.709399555,Zone 3,1.376940133
"17,35,1 49-55 21",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,127.26,151.25,189.67,86.43,232.92,439.5,600.3,888.32,NA,NA,NA,888.32,67.26,57.67,48.61,73.13,NA,NA,6,11,19,NA,NA,NA,36,4,3,19,EOT,24505.52967,33444.481,33287.38167,69632.309,NA,150.668,167.116,187.5023333,229.858,NA,196.6466667,201.288,211.71,313.182,NA,0.766186392,0.830233298,0.88565648,0.733943841,NA,0.733943841,642.7066667,12,59.80333333,0.804005003,Zone 3,1.472405415
"17,35,1 49-55 22*",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,93.77,154.21,141.75,91.68,195.91,368.84,552.25,777.27,1012.76,NA,NA,1012.76,37.74,48.33,47.52,57.9,65.89,NA,6,13,15,18,NA,NA,52,4.5,4,18,EOT,18224.937,24393.58067,30806.44033,33436.90433,41827.025,124.2513333,142.027,162.0583333,172.8993333,154.271,148.912,167.3163333,206.664,222.773,259.572,0.834394363,0.84885317,0.784163344,0.776123378,0.594328356,0.594328356,677.78,13,54.91,0.767572522,Zone 3,1.022796684
"17,35,1 49-55 23",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,183.34,211.74,217.8,84.39,253.18,450.3,647.01,NA,NA,NA,NA,647.01,37.65,60.78,57.64,NA,NA,NA,6,11,NA,NA,NA,NA,17,2.5,2,11,EOT,28356.724,29556.694,25237.247,NA,NA,164.712,156.6736667,145.902,NA,NA,221.8496667,220.7816667,191.15,NA,NA,0.742448715,0.709631687,0.763285378,NA,NA,0.763285378,548.655,8.5,59.21,0.73845526,Zone 3,2.172532291
"17,35,1 49-55 5",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,234.65,251.75,278.51,124.98,320.2,567.23,738.31,1021.71,NA,NA,NA,1021.71,46.42,83.07,92.84,93.64,NA,NA,6,11,16,NA,NA,NA,33,3.75,3,16,EOT,41830.39033,42204.065,52684.295,50584.78167,NA,168.238,157.747,165.5646667,170.668,NA,272.448,258.623,264.8026667,317.728,NA,0.617504992,0.609949618,0.625237913,0.537151274,NA,0.537151274,775.75,11,89.85,0.597460949,Zone 3,1.8775004
"17,35,1 49-55_21*",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,156.67,193.88,191.68,109.9,254.97,461.69,700.17,NA,NA,NA,NA,700.17,58.3,58.47,65.03,NA,NA,NA,6,12,NA,NA,NA,NA,18,2.5,2,12,EOT,20468.75,27556.966,37568.35933,NA,NA,122.6366667,156.424,188.5466667,NA,NA,159.2816667,194.3733333,239.7173333,NA,NA,0.769935858,0.804760598,0.786537477,NA,NA,0.786537477,580.93,9,61.75,0.787077978,Zone 3,1.425568699
"17,35,1 49-55_22",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,90.68,133.21,131.5,79.42,194.51,360.96,650.56,NA,NA,NA,NA,650.56,44.85,47.77,NA,NA,NA,NA,7,11,NA,NA,NA,NA,18,2.75,2,11,EOT,18390.29967,30335.28633,29487.3045,NA,NA,134.948,172.454,157.7955,NA,NA,134.8583333,195.7896667,214.1785,NA,NA,1.000664895,0.880812573,0.736747619,NA,NA,0.736747619,505.76,9,47.77,0.872741696,Zone 3,1.14177789
"17,35,1_14-55_12",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,237.82,273.49,316.79,168.21,401.65,674.19,982.14,NA,NA,NA,NA,982.14,93.35,105.91,110.37,NA,NA,NA,7,11,NA,NA,NA,NA,18,2.5,2,11,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828.165,9,108.14,NA,Zone 3,1.413827953
"17,35,1_14-55_13",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,155.95,194.36,187.59,131.08,266.68,499.46,757.12,NA,NA,NA,NA,757.12,45.2,65.7,76.47,NA,NA,NA,6,11,14,NA,NA,NA,31,3,3,14,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.29,10.33333333,71.085,NA,Zone 3,1.189731462
"17,35,1_14-55_14",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,133.66,136.48,166.61,64.04,181.38,327.48,526.62,783.99,NA,NA,NA,783.99,49.74,44.39,61.69,63.08,NA,NA,6,11,12,17,NA,NA,46,4,4,17,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546.03,11.5,56.38666667,NA,Zone 3,2.087133042
"17,35,1_14-55_16",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,153.74,176.41,233.92,104.06,271.96,461.71,667.55,920.92,1064.07,NA,NA,1064.07,70.2,65.7,97.78,101.7,NA,NA,8,11,14,17,NA,NA,50,4,4,17,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,778.5625,12.5,88.39333333,NA,Zone 3,1.477416875
"17,35,1_14-55_18",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,113.02,133.36,167.38,90.43,219.51,391.21,592.39,859.22,NA,NA,NA,859.22,56.68,58.76,56.5,87.91,NA,NA,9,12,13,15,NA,NA,49,4,4,15,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614.2733333,12.25,67.72333333,NA,Zone 3,1.24980648
"17,35,1_14-55_19",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,131.98,149.41,185.03,95.2,238.95,451.19,692.73,912.95,1114.94,NA,NA,1114.94,65.76,69.18,75.49,83.74,NA,NA,7,11,13,NA,NA,NA,31,4,3,13,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.9525,10.33333333,76.13666667,NA,Zone 3,1.386344538
"17,35,1_14-55_2",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,158.21,169.74,205.71,101.7,259.94,468.01,714.44,952.05,NA,NA,NA,952.05,65.7,70.2,90.51,96.55,NA,NA,7,10,15,NA,NA,NA,32,3,3,15,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711.5,10.66666667,85.75333333,NA,Zone 3,1.555653884
"17,35,1_14-55_20",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,188,209.68,209.68,87.76,266.83,526.58,749.54,978.2,NA,NA,NA,978.2,80.67,95.35,58.93,109.16,NA,NA,6,13,14,NA,NA,NA,33,3.5,3,14,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751.44,11,87.81333333,NA,Zone 3,2.142206016
"17,35,1_14-55_7",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,145.08,155.33,172.71,82.14,210.77,385.32,519.31,NA,NA,NA,NA,519.31,54.29,49.92,56.5,68.99,NA,NA,7,10,17,NA,NA,NA,34,4.5,3,17,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.315,11.33333333,58.47,NA,Zone 3,1.766252739
"17,35,1_14-55_8",101.39,No ,,,33.67,33.87,NA,NA,NA,NA,162.73,185.4,223.75,106.24,293.81,546.99,793.33,1132.3,NA,NA,NA,1132.3,83.65,89.06,114.81,NA,NA,NA,6,10,14,NA,NA,NA,30,3,3,14,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824.2066667,10,101.935,NA,Zone 3,1.531720633
"17,35,1 49-55 25",101.39,,,,33.67,33.87,1.24,-2.6,1.11,-1.95,100.52,127.83,141.31,102.22,211.83,369.54,568.95,836.51,NA,NA,NA,836.51,51.93,60.38,87.89,NA,NA,NA,7,11,13,NA,NA,NA,31,3.75,3,13,EOT,23974.29567,27689.017,34477.026,33901.796,NA,196.8896667,176.8853333,171.1196667,169.4603333,NA,143.525,190.9686667,221.3806667,228.8383333,NA,1.371814434,0.926253172,0.772965721,0.740524242,NA,0.740524242,591.6666667,10.33333333,74.135,0.952889392,Zone 3,0.983369204
"11,28,1 38-47 2",101.48,,,,NA,33.87,NA,NA,NA,NA,139.24,168.89,189.32,95.92,233.25,439.27,674.2,936.23,NA,NA,NA,936.23,47.82,69.05,90.19,84.56,NA,NA,6,11,16,NA,NA,NA,33,3.5,3,16,EOT,19286.74767,28446.18067,37388.59967,37996.23833,NA,128.948,158.0953333,179.6013333,173.2493333,NA,153.2336667,196.5766667,226.4573333,251.8906667,NA,0.8415122,0.80424262,0.793091267,0.687795763,NA,0.687795763,683.2333333,11,81.26666667,0.781660462,Zone 3,1.451626355
"11,28,1 59-61 1",101.69,No ,micro,,NA,33.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zone 3,NA
"11,28,1 59-61 2",101.69,,,,NA,33.87,NA,NA,NA,NA,212.15,275.75,237.38,120.63,272.25,537.07,826.95,NA,NA,NA,NA,826.95,42.8,87.35,101.45,NA,NA,NA,6,10,NA,NA,NA,NA,16,2.75,2,10,EOT,45349.839,64268.974,49928.13967,NA,NA,212.4713333,238.018,214.0243333,NA,NA,240.8386667,260.9223333,272.077,NA,NA,0.882214373,0.912217812,0.786631481,NA,NA,0.786631481,682.01,8,94.4,0.860354555,Zone 3,1.758683578
"11,28,1 59-61 3",101.69,,,,NA,33.87,NA,NA,NA,NA,208.84,240.09,248.95,111.93,282.67,521.24,782.83,978.88,NA,NA,NA,978.88,48.54,79.26,110.37,NA,NA,NA,7,11,15,NA,NA,NA,33,3.25,3,15,EOT,18786.92633,34902.196,41656.36833,42572.9115,NA,127.613,148.1286667,179.418,161.9605,NA,173.09,250.958,275.0436667,324.3635,NA,0.737263851,0.590252818,0.65232551,0.499317895,NA,0.499317895,760.9833333,11,94.815,0.619790018,Zone 3,1.865808988
"11,28,1 59-61 4",101.69,,,,NA,33.87,NA,NA,NA,NA,173.07,234,229.39,99.97,250.95,453.22,694.43,906.52,NA,NA,NA,906.52,41.69,65.94,74.19,NA,NA,NA,7,12,14,NA,NA,NA,33,4,3,14,EOT,20179.40733,31002.18067,47879.94467,42799.74567,NA,133.8153333,162.928,189.854,166.808,NA,180.2076667,195.5803333,274.9496667,276.367,NA,0.742561822,0.833048994,0.690504565,0.603574233,NA,0.603574233,684.7233333,11,70.065,0.717422404,Zone 3,1.731219366
"12,14,1 14-22 1",102.14,,,,33.68917,33.89,0.992,-2.49,1.13,-1.17,166.43,185.19,185.9,67.1,201.72,394.32,605.83,817.19,NA,NA,NA,817.19,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,15,3.5,NA,15,EOT,16709.033,18075.61967,28585.93233,43865.088,NA,116.5825,127.0726667,160.0103333,155.2736667,NA,141.309,155.6206667,216.691,298.2776667,NA,0.825018222,0.816553928,0.7384263,0.520567525,NA,0.520567525,605.78,15,NA,0.725141494,Zone 3,2.480327869
"12,14,1 14-22 2",102.14,,,,33.68917,33.89,0.992,-2.49,1.13,-1.17,266.22,347.57,299.3,158.56,355.11,624.88,852.81,NA,NA,NA,NA,852.81,60.95,109.48,64.12,NA,NA,NA,6,11,NA,NA,NA,NA,17,2.25,2,11,EOT,42104.74833,51382.912,44853.45667,NA,NA,171.6066667,204.26,199.9306667,NA,NA,290.4816667,288.2746667,262.225,NA,NA,0.590765912,0.708560354,0.762439381,NA,NA,0.762439381,738.845,8.5,86.8,0.687255216,Zone 3,1.678985873
"12,14,2 90-100 1",102.92,,,,33.73581,33.95,0.913,-2.27,0.93,-1.37,123.68,146.39,173.18,70.08,225.12,379.79,569.8,790.56,997.04,NA,NA,997.04,70.56,41.27,60.09,83.36,95.17,NA,7,14,17,19,NA,NA,57,4,4,19,EOT,14861.11133,20585.93733,24969.618,40823.20633,NA,122.677,134.1316667,156.4763333,192.234,NA,149.1716667,160.8313333,180.9356667,235.3743333,NA,0.822388076,0.833989645,0.864817513,0.816716068,NA,0.816716068,684.2975,14.25,69.9725,0.834477826,Zone 3,1.764840183
