Sample Number,Remarks,Depth,Age,Planktonic_d13C,Planktonic_d18O,Benthic_d13C,Benthic_d18O,WT3D,Calcite,VP,VD,V1W,C1W,NV1W,V2W,C2W,NV2W,V3W,C3W,NV3W,V4W,C4W,NV4W,V5W,C5W,NV5W,V6W,C6W,NV6W,Diameter,Thickness,DT,CD,Series
TDP 12-8_Ready 2,,117.22,33.89,0.9,-2.87,0.89,-2.86,1.75,134945569.2,4779461.06,2093038.91,8735876.12,6,1455979.35,,,,,,,,,,,,,,,,975.8,432.03,2.26,138292.24,EOT
TDP 17-15_Ready 2,,117.4,33.89,NA,NA,NA,NA,2.5,250961344,1620795.35,520087.7,2145556.5,6,357592.75,9250973.77,12,770914.48,,,,,,,,,,,,,1157.71,492.93,2.35,216773.93,Eocene
TDP 17-15_Ready 4,,117.4,33.89,NA,NA,NA,NA,3.75,562901357.7,4522337.27,2074787.18,7702728.09,6,1283788.02,30574347.02,11,2779486.09,43753017.78,13,3365616.75,,,,,,,,,,1463.32,706.61,2.07,384674.14,Eocene
TDP 17-14_Ready 1,,120.22,33.92,NA,NA,NA,NA,2.5,538812195,7871194.67,1840447.28,7833807.11,5,1566761.42,34626446.67,9,3847382.96,,,,,,,,,,,,,1484.54,616.24,2.41,362948.92,Eocene
TDP 12-7_Ready 1,,120.41,33.92,0.9,-3.1,0.95,-1.67,2,309477149,5174523.14,2655080.56,6421865.82,6,1070310.97,27704650.28,11,2518604.57,,,,,,,,,,,,,1315.29,484.65,2.71,235291.95,Eocene
TDP 12-7_Ready 3,,120.41,33.92,0.9,-3.1,0.95,-1.67,2.5,342978940.3,4772349.94,2305582.31,7356582.71,6,1226097.12,22442423.35,13,1726340.26,38006025.74,11,3455093.25,,,,,,,,,,1364.14,487.72,2.8,251425.03,Eocene
TDP 17-17_Ready 2,,121.05,33.92,NA,NA,NA,NA,2,172369794.2,3702036.34,2175822.62,4881079.84,6,813513.31,13545424.94,12,1128785.41,,,,,,,,,,,,,1053.78,451.09,2.34,163572.85,Eocene
TDP 17-17_Ready 3,,121.05,33.92,NA,NA,NA,NA,3,254481561.1,2654516.95,1163020.25,3372892.26,5,674578.45,13038467.4,12,1086538.95,32182457.31,17,1893085.72,,,,,,,,,,1360.81,480.44,2.83,187007.42,Eocene
TDP 17-17_Ready 1,,121.05,33.92,NA,NA,NA,NA,3,644724483.7,5963761.34,2973201.41,5798632.94,6,966438.82,17315114.97,12,1442926.25,29620296.54,19,1558962.98,,,,,,,,,,1611.45,626.64,2.57,400089.66,Eocene
TDP 12-5_Ready 2,,123.37,33.94,0.78,-3,1.09,-1.44,2.5,243328480.9,2557105.17,1384034.16,4779987.81,6,796664.64,16409035.24,12,1367419.6,15766137.55,7,2252305.36,,,,,,,,,,1209.33,465.36,2.6,201209.33,Eocene
TDP 12-4_Ready 2,,124.3,33.95,NA,NA,NA,NA,2,150105945.7,1361530.41,208302.13,1691787.21,6,281964.54,8375704.22,12,697975.35,,,,,,,,,,,,,977.4,435.08,2.25,153576.78,Eocene
TDP 12-4_Ready 3,,124.3,33.95,NA,NA,NA,NA,2,150611567.9,4545259.41,3946390.77,5150359.31,6,858393.22,15554561.35,10,1555456.14,,,,,,,,,,,,,1093.53,396.65,2.76,137729.71,Eocene
TDP 12-3_Ready 1,,126.44,33.97,NA,NA,NA,NA,4.5,2190478729,4318971.37,575264.71,4064588.25,6,677431.38,14786941.98,12,1232245.17,53439980.88,15,3562665.39,102940981.8,16,6433811.36,,,,,,,2449.86,1061.15,2.31,894124.04,Eocene
TDP 12-2_Ready 5,,138.69,34.07,1.12,-2.98,NA,NA,2,174738065.7,5712070.95,2362998,6559610.8,5,1311922.16,13982827.31,9,1553647.48,,,,,,,,,,,,,1046.01,458.41,2.28,167052,Eocene
TDP 17-12_Ready 3,,,,,,,,4,1376636096,15071193.57,7167952.42,17268603.07,6,2878100.51,53480682.98,12,4456723.58,93931355.26,20,4696567.76,232695071.6,21,11080717.7,,,,,,,2292.52,846.32,2.71,600490.33,
